,title,genre,budget,runtime,year,month,revenue
1108,Pinocchio,Animation,2600000.0,88.0,1940,2,84300000
862,Lolita,Drama,2000000.0,153.0,1962,6,9250000
1125,Cleopatra,Drama,31115000.0,248.0,1963,6,71000000
1066,"Yours, Mine and Ours",Comedy,,111.0,1968,4,0
1877,Tora! Tora! Tora!,,25485000.0,144.0,1970,1,29548291
1954,Waterloo,,25000000.0,128.0,1970,10,3052000
1028,Solaris,Drama,,167.0,1972,3,0
1243,Mean Streets,Drama,500000.0,110.0,1973,10,3000000
1403,The Bad News Bears,Comedy,35000000.0,102.0,1976,4,35323292
1838,The Omen,Horror,2800000.0,111.0,1976,6,60922980
1787,A Bridge Too Far,Drama,22000000.0,175.0,1977,6,50750000
1977,The Wiz,Adventure,24000000.0,134.0,1978,10,21049053
813,Superman,Action,55000000.0,143.0,1978,12,300218018
1531,Moonraker,Action,34000000.0,126.0,1979,6,210308099
1525,Apocalypse Now,Drama,31500000.0,153.0,1979,8,89460381
409,All That Jazz,Drama,,123.0,1979,12,37823676
1367,Star Trek: The Motion Picture,Science Fiction,35000000.0,132.0,1979,12,139000000
1510,1941,Action,35000000.0,113.0,1979,12,31755742
1269,Raise the Titanic,Action,,115.0,1980,1,0
1990,The Empire Strikes Back,Adventure,18000000.0,124.0,1980,5,538400000
1753,The Blues Brothers,,27000000.0,133.0,1980,6,115229890
1415,Flash Gordon,Science Fiction,35000000.0,111.0,1980,9,27107960
1109,Heaven's Gate,Action,44000000.0,219.0,1980,11,3484331
870,Superman II,Action,54000000.0,127.0,1980,12,190458706
1459,Lion of the Desert,Action,35000000.0,173.0,1981,4,0
1039,Inchon,Drama,46000000.0,140.0,1981,5,5200000
1713,For Your Eyes Only,Adventure,28000000.0,127.0,1981,6,195312802
1477,Reds,Drama,32000000.0,195.0,1981,12,40382659
379,Conan the Barbarian,Adventure,20000000.0,129.0,1982,4,79114085
1318,The Thing,Horror,15000000.0,109.0,1982,6,19629760
1396,Poltergeist,Horror,10700000.0,114.0,1982,6,122200000
1725,Blade Runner,Science Fiction,28000000.0,117.0,1982,6,33139618
1027,First Blood,Action,15000000.0,93.0,1982,10,125212904
417,Creepshow,Horror,8000000.0,120.0,1982,11,21028755
1490,Return of the Jedi,Adventure,32350000.0,135.0,1983,5,572700000
1296,Superman III,Comedy,39000000.0,125.0,1983,6,75850624
1743,Octopussy,Adventure,27500000.0,131.0,1983,6,187500000
1438,Krull,Fantasy,27000000.0,117.0,1983,7,16519460
1343,Never Say Never Again,Adventure,36000000.0,134.0,1983,10,160000000
1759,The Right Stuff,Drama,27000000.0,193.0,1983,10,21500000
1850,Scarface,Action,25000000.0,170.0,1983,12,65884703
1663,Once Upon a Time in America,Drama,30000000.0,229.0,1984,2,0
1965,Footloose,Drama,8200000.0,107.0,1984,2,80035402
1761,The NeverEnding Story,Drama,27000000.0,102.0,1984,4,20158808
1697,Indiana Jones and the Temple of Doom,Adventure,28000000.0,118.0,1984,5,333000000
1148,The Karate Kid,Drama,8000000.0,126.0,1984,6,90815558
655,Red Dawn,Action,4200000.0,114.0,1984,8,38376497
1932,Sheena,Action,25000000.0,117.0,1984,8,5778353
1378,A Nightmare on Elm Street,Horror,1800000.0,91.0,1984,11,25504513
1018,The Cotton Club,,58000000.0,127.0,1984,12,25928721
1079,Dune,Action,40000000.0,137.0,1984,12,30925690
1747,A Passage to India,Drama,8000000.0,163.0,1984,12,27187653
1106,Rambo: First Blood Part II,Action,44000000.0,96.0,1985,5,300400432
1586,A View to a Kill,Adventure,30000000.0,131.0,1985,5,152427960
1764,Return to Oz,Adventure,25000000.0,109.0,1985,6,11137801
1914,Lifeforce,Fantasy,25000000.0,116.0,1985,6,0
1795,Silverado,Action,26000000.0,127.0,1985,7,0
1529,Out of Africa,Drama,31000000.0,161.0,1985,12,128499205
1918,Big Trouble in Little China,Action,25000000.0,99.0,1986,5,11000000
1202,Legal Eagles,Comedy,,116.0,1986,6,0
1643,Howard the Duck,Comedy,37000000.0,110.0,1986,8,37962774
1959,Star Trek IV: The Voyage Home,Science Fiction,24000000.0,119.0,1986,11,133000000
1609,Little Shop of Horrors,Horror,25000000.0,94.0,1986,12,38748395
1256,Ishtar,Action,55000000.0,107.0,1987,5,14375181
1200,The Living Daylights,Action,40000000.0,130.0,1987,6,191185897
1828,The Untouchables,Crime,25000000.0,119.0,1987,6,76270454
1852,The Last Emperor,Drama,23000000.0,163.0,1987,10,43984230
1608,The Running Man,Action,27000000.0,101.0,1987,11,38122105
1691,Cry Freedom,Drama,,157.0,1987,11,0
1899,"Bright Lights, Big City",Drama,,107.0,1988,4,0
794,Rambo III,Action,63000000.0,102.0,1988,5,189015611
1607,Midnight Run,Adventure,30000000.0,126.0,1988,7,38413606
1702,Die Hard,Action,28000000.0,131.0,1988,7,140767956
