,title,genre,budget,runtime,year,month,revenue
0,Avatar,Action,237000000.0,162.0,2009,12,2787965087.0
1,Pirates of the Caribbean: At World's End,Adventure,300000000.0,169.0,2007,5,961000000.0
2,Spectre,Action,245000000.0,148.0,2015,10,880674609.0
3,The Dark Knight Rises,Action,250000000.0,165.0,2012,7,1084939099.0
4,John Carter,Action,260000000.0,132.0,2012,3,284139100.0
5,Spider-Man 3,Fantasy,258000000.0,139.0,2007,5,890871626.0
6,Tangled,Animation,260000000.0,100.0,2010,11,591794936.0
7,Avengers: Age of Ultron,Action,280000000.0,141.0,2015,4,1405403694.0
8,Harry Potter and the Half-Blood Prince,Adventure,250000000.0,153.0,2009,7,933959197.0
9,Batman v Superman: Dawn of Justice,Action,250000000.0,151.0,2016,3,873260194.0
10,Superman Returns,Adventure,270000000.0,154.0,2006,6,391081192.0
11,Quantum of Solace,Adventure,200000000.0,106.0,2008,10,586090727.0
12,Pirates of the Caribbean: Dead Man's Chest,Adventure,200000000.0,151.0,2006,6,1065659812.0
13,The Lone Ranger,Action,255000000.0,149.0,2013,7,89289910.0
14,Man of Steel,Action,225000000.0,143.0,2013,6,662845518.0
15,The Chronicles of Narnia: Prince Caspian,Adventure,225000000.0,150.0,2008,5,419651413.0
16,The Avengers,Science Fiction,220000000.0,143.0,2012,4,1519557910.0
17,Pirates of the Caribbean: On Stranger Tides,Adventure,380000000.0,136.0,2011,5,1045713802.0
18,Men in Black 3,Action,225000000.0,106.0,2012,5,624026776.0
19,The Hobbit: The Battle of the Five Armies,Action,250000000.0,144.0,2014,12,956019788.0
20,The Amazing Spider-Man,Action,215000000.0,136.0,2012,6,752215857.0
21,Robin Hood,Action,200000000.0,140.0,2010,5,310669540.0
22,The Hobbit: The Desolation of Smaug,Adventure,250000000.0,161.0,2013,12,958400000.0
23,The Golden Compass,Adventure,180000000.0,113.0,2007,12,372234864.0
24,King Kong,Adventure,207000000.0,187.0,2005,12,550000000.0
25,Titanic,Drama,200000000.0,194.0,1997,11,1845034188.0
26,Captain America: Civil War,Adventure,250000000.0,147.0,2016,4,1153304495.0
